ref_base,alt_base,b_subtilis,b_cenocepacia,c_glutamicum,d_discoideum,e_coli,l_lactis,m_tuberculosis,p_falciparum,p_aeruginosa,p_fluorescens,s_cerevisiae,s_typhimurium,s_aureus,t_gondii
A,C,0.067733,0.197562,0.123109756,0.01342413,0.172689033,0.02775174,0.1153,0.035581967,0.141487472,0.144506518,0.090152,0.159183914,0.043506835,0.102265
A,G,0.331137,0.239469,0.278136856,0.053696521,0.208563312,0.04925934,0.2451,0.103187704,0.212231208,0.268369247,0.134676,0.106122609,0.121819139,0.173851
A,T,0.070241,0.101775,0.031917344,0.187937823,0.091199186,0.00901932,0.0254,0.092513114,0.070743736,0.015482841,0.056299,0.066326631,0.047857519,0.051133
G,A,0.426666,0.279692,0.418285908,0.289699482,0.34431963,0.45499503,0.3724,0.473056748,0.413667639,0.363160415,0.332104,0.437476481,0.464937027,0.2691
G,C,0.026056,0.089263,0.043001355,0.082771281,0.06634141,0.04642806,0.1319,0.103481164,0.035971099,0.087427507,0.143422,0.048608498,0.031293838,0.23805
G,T,0.078168,0.092239,0.10554878,0.372470763,0.116887429,0.41254651,0.1099,0.192179304,0.125898847,0.121053472,0.243347,0.182281867,0.290585642,0.1656
